Date,Close_Splits,Volume_Splits,Open_Splits,High_Splits,Low_Splits,Open_NoSplits,High_NoSplits,Low_NoSplits,Close_NoSplits,Volume_NoSplits,Daily_Return,Price_Range,Price_Change,Profit,pred_constant,error,squared_error,pred_linear,error_linear,squared_error_linear,Prev_Close
2015-12-11, $113.18,46810020, $115.19, $115.39, $112.851,25.971766795399063,26.016859893666684,25.444168600672462,25.518573760986328,187544800,-2.5738010403035694,0.5726912929942216,-0.4531930344127346,False,26.17548033563116,-0.6569065746448324,0.43152624781160676,25.754847361252974,-0.2362736002666459,0.055825214182962775,25.360746383666992
2015-12-10, $116.17,29158640, $116.04, $116.94, $115.51,26.163411982131223,26.366334340975893,26.04391373753137,26.19272232055664,116850800,0.4756826331866026,0.3224206034445238,0.029310338425418,True,26.17548033563116,0.017241984925480125,0.00029728604417048385,25.934770727788916,0.25795159276772495,0.06653902421140621,25.518573760986328
2015-12-09, $115.62,46301930, $117.64, $117.69, $115.08,26.524164432155672,26.535438566581163,25.94696452955152,26.06871795654297,185445600,-2.207576848619864,0.5884740370296448,-0.4554464756127032,False,26.17548033563116,-0.10676237908819175,0.011398205588570763,26.405546930025366,-0.3368289734823975,0.11345375737720563,26.19272232055664
2015-12-08, $118.23,34275420, $117.52, $118.6, $116.86,26.497111568669016,26.74061845965999,26.34830294874675,26.657196044921875,137238000,-0.0422759071171618,0.3923155109132423,0.1600844762528588,True,26.17548033563116,0.4817157092907145,0.23205002457745616,26.34451258532232,0.3126834595995547,0.09777094590714634,26.06871795654297
2015-12-07, $118.28,32063100, $118.98, $119.86, $117.81,26.82629969905089,27.02471177997605,26.56249968803784,26.66847038269043,128336800,-0.6300861312681705,0.4622120919382126,-0.1578293163604591,False,26.17548033563116,0.4929900470592692,0.24303918649950046,26.76474951924933,-0.09627913655890197,0.009269672136527693,26.657196044921875
2015-12-04, $119.03,57717870, $115.29, $119.25, $115.11,25.9943167567547,26.88717363715028,25.953732274909825,26.837570190429688,231108000,3.3246765682670043,0.9334413622404548,0.8432534336749882,True,26.17548033563116,0.662089854798527,0.43836297582713457,26.22763110032443,0.6099390901052573,0.37202569363842913,26.66847038269043
2015-12-03, $115.2,41511380, $116.55, $116.79, $114.22,26.278402505713583,26.33251456319544,25.753059525428,25.974018096923828,166278000,-0.9287890109463182,0.5794550377674383,-0.3043844087897547,False,26.17548033563116,-0.20146223870733238,0.040587033624970174,26.471620773800794,-0.4976026768769657,0.24760842403512193,26.837570190429688
2015-12-02, $116.28,33316990, $117.05, $118.11, $116.08,26.456520059808778,26.630132077162514,26.17243048263372,26.2175235748291,133546400,-0.9033700775684884,0.4577015945287925,-0.2389964849796761,False,26.17548033563116,0.04204323919794106,0.0017676339622552878,26.28493946222009,-0.06741588739098958,0.004544901872714588,25.974018096923828
2015-12-01, $117.34,34806250, $118.75, $118.81, $116.86,26.774435917960403,26.787963503541896,26.348299770228813,26.456523895263672,139409600,-0.8115087738969518,0.4396637333130826,-0.3179120226967313,False,26.17548033563116,0.2810435596325114,0.07898548241091298,26.57699566954566,-0.12047177428198808,0.014513448398650283,26.2175235748291
2015-11-30, $118.3,38063130, $117.99, $119.41, $117.75,26.60308090334649,26.9232481193852,26.548968837052,26.67297744750977,156721200,0.4159367279275683,0.3742792823331982,0.0698965441632779,True,26.17548033563116,0.4974971118786087,0.24750337632755687,26.549283438168644,0.12369400934112562,0.015300207946882473,26.456523895263672
